Run Report
Total Files - 265
Failed Files

Detailed Report
File: 10-K_or_equivalent-txt\BMY\BMY_2023_10-K.txt,       Initial length: 544206 c, Final length: 374809 c, Chars removed: 169397 c, Header removed: 4512 c, Signatures removed: 0 c, Exhibits removed: 33744 c, Digits removed: 14620 c, Symbols removed: 15377 c, Stopwords removed: 25437 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2001_10-K.txt,       Initial length: 347452 c, Final length: 233093 c, Chars removed: 114359 c, Header removed: 2029 c, Signatures removed: 14572 c, Exhibits removed: 0 c, Digits removed: 11402 c, Symbols removed: 9667 c, Stopwords removed: 19337 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2002_10-K.txt,       Initial length: 338250 c, Final length: 230812 c, Chars removed: 107438 c, Header removed: 2138 c, Signatures removed: 9878 c, Exhibits removed: 0 c, Digits removed: 11564 c, Symbols removed: 9752 c, Stopwords removed: 18698 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2003_10-K.txt,       Initial length: 327462 c, Final length: 228100 c, Chars removed: 99362 c, Header removed: 2073 c, Signatures removed: 2485 c, Exhibits removed: 0 c, Digits removed: 12060 c, Symbols removed: 10055 c, Stopwords removed: 18204 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2000_10-K.txt,       Initial length: 324004 c, Final length: 213447 c, Chars removed: 110557 c, Header removed: 2429 c, Signatures removed: 2935 c, Exhibits removed: 0 c, Digits removed: 10951 c, Symbols removed: 24342 c, Stopwords removed: 17435 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2004_10-K.txt,       Initial length: 314822 c, Final length: 219495 c, Chars removed: 95327 c, Header removed: 2076 c, Signatures removed: 2488 c, Exhibits removed: 0 c, Digits removed: 12670 c, Symbols removed: 9735 c, Stopwords removed: 17006 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2005_10-K.txt,       Initial length: 344579 c, Final length: 240555 c, Chars removed: 104024 c, Header removed: 2720 c, Signatures removed: 2572 c, Exhibits removed: 0 c, Digits removed: 13373 c, Symbols removed: 10564 c, Stopwords removed: 18753 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2006_10-K.txt,       Initial length: 445545 c, Final length: 313121 c, Chars removed: 132424 c, Header removed: 2805 c, Signatures removed: 2675 c, Exhibits removed: 0 c, Digits removed: 16125 c, Symbols removed: 13229 c, Stopwords removed: 24653 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2008_10-K.txt,       Initial length: 472112 c, Final length: 332457 c, Chars removed: 139655 c, Header removed: 2876 c, Signatures removed: 2736 c, Exhibits removed: 0 c, Digits removed: 16612 c, Symbols removed: 13483 c, Stopwords removed: 26368 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2007_10-K.txt,       Initial length: 470100 c, Final length: 331061 c, Chars removed: 139039 c, Header removed: 2877 c, Signatures removed: 2702 c, Exhibits removed: 0 c, Digits removed: 16496 c, Symbols removed: 13813 c, Stopwords removed: 26139 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2009_10-K.txt,       Initial length: 471579 c, Final length: 331655 c, Chars removed: 139924 c, Header removed: 3309 c, Signatures removed: 2784 c, Exhibits removed: 0 c, Digits removed: 17547 c, Symbols removed: 13752 c, Stopwords removed: 25939 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2010_10-K.txt,       Initial length: 502689 c, Final length: 352896 c, Chars removed: 149793 c, Header removed: 3305 c, Signatures removed: 2874 c, Exhibits removed: 0 c, Digits removed: 19423 c, Symbols removed: 14903 c, Stopwords removed: 27622 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2011_10-K.txt,       Initial length: 551577 c, Final length: 386987 c, Chars removed: 164590 c, Header removed: 3313 c, Signatures removed: 2605 c, Exhibits removed: 0 c, Digits removed: 21703 c, Symbols removed: 16562 c, Stopwords removed: 30408 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2012_10-K.txt,       Initial length: 525077 c, Final length: 368501 c, Chars removed: 156576 c, Header removed: 3293 c, Signatures removed: 2566 c, Exhibits removed: 0 c, Digits removed: 20761 c, Symbols removed: 15518 c, Stopwords removed: 28928 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2014_10-K.txt,       Initial length: 550036 c, Final length: 371917 c, Chars removed: 178119 c, Header removed: 3293 c, Signatures removed: 2445 c, Exhibits removed: 22944 c, Digits removed: 15347 c, Symbols removed: 13613 c, Stopwords removed: 30629 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2013_10-K.txt,       Initial length: 589606 c, Final length: 413365 c, Chars removed: 176241 c, Header removed: 3293 c, Signatures removed: 2445 c, Exhibits removed: 0 c, Digits removed: 22388 c, Symbols removed: 17299 c, Stopwords removed: 33220 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2015_10-K.txt,       Initial length: 480568 c, Final length: 320343 c, Chars removed: 160225 c, Header removed: 3294 c, Signatures removed: 2513 c, Exhibits removed: 24853 c, Digits removed: 14638 c, Symbols removed: 12697 c, Stopwords removed: 25818 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2016_10-K.txt,       Initial length: 490542 c, Final length: 329357 c, Chars removed: 161185 c, Header removed: 3294 c, Signatures removed: 2479 c, Exhibits removed: 21079 c, Digits removed: 15174 c, Symbols removed: 13915 c, Stopwords removed: 26533 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2018_10-K.txt,       Initial length: 404104 c, Final length: 272563 c, Chars removed: 131541 c, Header removed: 3490 c, Signatures removed: 2526 c, Exhibits removed: 16285 c, Digits removed: 13365 c, Symbols removed: 11941 c, Stopwords removed: 21018 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2017_10-K.txt,       Initial length: 499841 c, Final length: 339735 c, Chars removed: 160106 c, Header removed: 3599 c, Signatures removed: 2602 c, Exhibits removed: 18819 c, Digits removed: 14799 c, Symbols removed: 14055 c, Stopwords removed: 26815 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2019_10-K.txt,       Initial length: 403868 c, Final length: 272924 c, Chars removed: 130944 c, Header removed: 3052 c, Signatures removed: 2492 c, Exhibits removed: 16630 c, Digits removed: 12817 c, Symbols removed: 12187 c, Stopwords removed: 20971 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2020_10-K.txt,       Initial length: 451841 c, Final length: 306525 c, Chars removed: 145316 c, Header removed: 3388 c, Signatures removed: 2646 c, Exhibits removed: 18846 c, Digits removed: 14502 c, Symbols removed: 14096 c, Stopwords removed: 22826 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2022_10-K.txt,       Initial length: 397371 c, Final length: 268538 c, Chars removed: 128833 c, Header removed: 4015 c, Signatures removed: 2510 c, Exhibits removed: 19144 c, Digits removed: 11324 c, Symbols removed: 11897 c, Stopwords removed: 20040 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2021_10-K.txt,       Initial length: 432781 c, Final length: 295085 c, Chars removed: 137696 c, Header removed: 3506 c, Signatures removed: 2510 c, Exhibits removed: 18056 c, Digits removed: 12674 c, Symbols removed: 12470 c, Stopwords removed: 22194 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2023_10-K.txt,       Initial length: 405347 c, Final length: 275550 c, Chars removed: 129797 c, Header removed: 4020 c, Signatures removed: 2616 c, Exhibits removed: 19505 c, Digits removed: 11007 c, Symbols removed: 12126 c, Stopwords removed: 20186 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\JNJ\JNJ_2000_10-K.txt,       Initial length: 124372 c, Final length: 73210 c, Chars removed: 51162 c, Header removed: 1981 c, Signatures removed: 0 c, Exhibits removed: 0 c, Digits removed: 10668 c, Symbols removed: 18199 c, Stopwords removed: 4641 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\JNJ\JNJ_2001_10-K.txt,       Initial length: 217719 c, Final length: 136111 c, Chars removed: 81608 c, Header removed: 3132 c, Signatures removed: 0 c, Exhibits removed: 0 c, Digits removed: 11904 c, Symbols removed: 28099 c, Stopwords removed: 8817 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\JNJ\JNJ_2002_10-K.txt,       Initial length: 304365 c, Final length: 197320 c, Chars removed: 107045 c, Header removed: 3476 c, Signatures removed: 0 c, Exhibits removed: 0 c, Digits removed: 12704 c, Symbols removed: 31781 c, Stopwords removed: 14415 c, is_10K: True, Status: Success
